Target,Seg_Text
0,標準間 太 差   房間    星     設施 非常 陳舊  建議 酒店  老  標準間  新 改善 
0,服務態度 極 差  前臺 接 象 沒 受 培訓   基  禮貌   懂  竟然 時 接  客  堂 副理 更 差   客 辯解  沒完   總理  電話 投訴 竟然  敢    沒 作 什 虧心事 情     怕 
0,理位置  錯   裡   方便   服務  象 豪生 集團 理    差  午 睡  覺  洗   澡   想  酒店   掃     開啟   請 掃  服務 燈    晚 回 酒店  發現 掃  服務 燈  關掉    房間  沒 掃  
0,   住    馬路  標準間  房間 設施 簡陋    房間 玻璃窗 戶外  層 幕牆 玻璃    開啟  導 房間  然通風  採光     吃  三頓 早餐  品種 少 憐    二樓 餐廳  租出   價格 特貴  原 訂餐 時告  房客   九折 （ 房間 服務指南 裡  明明白白 寫    結帳 時  告  海鮮  酒水   折    沒 發票  找  理  容易  二天  發票  綜合 說  四星級 差 太  
0,   住    馬路  標準間  房間 設施 簡陋    房間 玻璃窗 戶外  層 幕牆 玻璃    開啟  導 房間  然通風  採光     吃  三頓 早餐  品種 少 憐    二樓 餐廳  租出   價格 特貴  原 訂餐 時告  房客   九折 （ 房間 服務指南 裡  明明白白 寫    結帳 時  告  海鮮  酒水   折    沒 發票  找  理  容易  二天  發票  綜合 說  四星級 差 太  
0,出差 入住  酒店 訂   三間  房間 沒 空調 冷 死  子 潮  火車站 旁 步行   說   名 金鑰匙  家
0,客觀 說  樣  酒店     月  日住   天氣 特 冷  房間 空調 根       房間     時 手腳冰涼   沒 辦法 電話 投訴   加   電暖氣  效果 沒 變化   氣憤     沒聽說  酒店  變更  取消  必須     前 聯絡   聯絡    信卡 裡 扣錢  訂   間房    早餐   青島 天氣  原    朋友 沒 成    午  點半 取消   房間    早餐   結帳 時  收   份 早餐 錢     午 通知 攜程   攜程  答覆  通知 酒店    酒店 前臺   承認 收 通知      元   覺 態度 真  理解   酒店 司機  態度     感謝 酒店  司機 師傅  禮賓 部    反正  會  住 裡   青島    酒店     遺憾 什 選擇 裡  理位置    海  遠    超市 近點 
0,酒店 太舊     堂 感覺 象 三星級     房間    點  三星級  條件     青島 樣  酒店  絕 算 四星 標準    早餐 走  兩圈  沒 找  吃     太差 
0, 房間 裡面  水  鏽水  堂 副理 免費 升級  套間    預定  天  講 頭  晚   三 晚    三天 直接 告訴       攜程 反映  沒 效果  原  三天  批   開會  房間 夠  意  住客 走  堅決  住 裡   態度 十分 差勁 
0,酒店設施 老化 嚴重  作 家 五星級 酒店  居然 沒 煙 樓層 （  前臺 登記   酒店 服務員 說  ）
0,感覺 非常 般  房間 髒   網  收費  象   元  時  極度 爽   市 走 點    便宜    酒店      會 住  名副實  酒店  建議 攜程   類 酒店 登入  損 攜程 名譽  賓館 反饋    年  月  日      非常 感謝  意見  酒店  非常重視  特意 針 事 召開 緊急會議   作出 相關  處理      針 客 提出  房間 髒  問題   調查  客 入住   房 洗手間 門口 毯  確實  汙垢    相關 部門 員 做出 處罰      關 網 收費  資訊  酒店   攜程網   明顯 公佈  收費 標準   元 / 時    外 酒店    年  月 準備  部分 樓層 改 商務 樓層  屆時 應  滿足 商務 客  需求 
0, 房間    房間 通風   氣味 點    傢俱  床單 陳舊   網路 時 通  字   爛 建議 遠
0,房間  異味  入住 時 室外 低  度   房間  中央 調  冷風     室 設施 陳舊  戶外 聲音  嘈雜    堂  服務員  總體 非常   應  算 準 二星 
0," 攜程  家  點評 錯  訂  間 陽面   房間  慕名 前   失  燈光 昏暗  空間 極 狹  床墊 質量 惡劣  房間 伴  股 黴味  原 預計 住    星期    住  晚  退房   實 原 想       許 皇城根   段  價格    種 水平    轉機   入住  二天 早  出 賓館  新街口 街  溜達  沒 走 兩分鐘  發現 家 鎖 賓館 ― ― 欣 燕 總店  門 臉 錯  進   房  頓時 喜歡    房間 設計 簡約  時尚  寬敞明亮  床   舒服  樣  寬頻  正  喜歡  型  緊 回 護國寺 賓館   攜程 查  查  單間     套間 竟然    超值   樣  段  更優越  條件  更 低廉  價格  二話說  立馬 新 訂單  退房  拖  行李  搬   欣 燕   欣 燕 交通 更 便利    新街口 街   門口  公車站  計程車 站  斜面  新街口 超市  新街口 百貨   周圍 樣  典型  北京 衚衕  提醒 點  攜程 協議  "" 欣 燕 ""  沒 寬頻    實際 現 "" 欣 燕 ""     說       選擇  家 應  清楚    （ 感覺   槍手    ） 外   希 護國寺 賓館   競爭手 學習   改善 改善 "
0,  月  日 入住  設施 太 陳舊  股 黴味  住店 收 停車費  強烈  推薦  外  協程 出  址 誤   潯 陽路   潯陽 東路 
0, 天津   差  酒店  定  ４  單間   ２  沒 窗戶  ２   見 相 近  樓房 屋頂  價格  偏高    含 早  真 差極    定  ２ 天 天  退房     天津 ＼ 南開學  近 選擇  永遠 會  裡 住  充量    準 二星 ．
0,天宇   佔   位置    光  部 設施  消耗品 配備  實  樣     貴
0,   住   差  五星級 酒店   月  日住  謂 濟 間   元 / 晚  房間   通道    容 條 腿  衛生間 沒門  淋浴房 居然  沒門  洗澡水   快 漫出 衛生間  換  間   樣  毯 髒  沒 服務   住   白送  住    刀 砍  感覺 
0, 懷疑 五星 酒店  評價 標準  三星     失 
0,   房價 定  間 濟 間 房間 奇   裡面   難 轉身 淋浴 裝置   差 子  乾淨 蓋  身 癢 房間  通風 空氣 差 隔音 效果 非常 差 旁 屋 做 什   聽見 半夜   酒鬼 亂 敲門 驚醒    住   差  五星級 酒店 千萬    住 開發區  濟型 酒店     ! !
0,   住   差  五星級 酒店   月  日住  謂 濟 間   元 / 晚  房間   通道    容 條 腿  衛生間 沒門  淋浴房 居然  沒門  洗澡水   快 漫出 衛生間  換  間   樣  毯 髒  沒 服務   住   白送  住    刀 砍  感覺 
0, 懷疑 五星 酒店  評價 標準  三星     失 
0,   房價 定  間 濟 間 房間 奇   裡面   難 轉身 淋浴 裝置   差 子  乾淨 蓋  身 癢 房間  通風 空氣 差 隔音 效果 非常 差 旁 屋 做 什   聽見 半夜   酒鬼 亂 敲門 驚醒    住   差  五星級 酒店 千萬    住 開發區  濟型 酒店     ! !
0,房間 太   電梯  周圍環境     正 修路  非常 嘈雜
0,房間 裝修 陳舊  水 堵塞  晚 折     時   沒 修 
0,房間 太   電梯  周圍環境     正 修路  非常 嘈雜
0,硬體 設施 太舊  房價  相符 價格  貴  補充 點評    年  月  日      床 房  床 太 兩 睡 感覺  舒服
0, 酒店  元 / 標間 價格 絕 值  知道 航空 酒店 定價 標準  什  馬桶 根 沒 消毒 前天 晚 入住   馬桶  屁股 立馬 騷癢  現  沒 消退  外 早餐 餐廳   憐 食物 品種  數量  少  晚 吃 早餐 保準 吃  
0,建議 攜程   家 酒店 合作 名曰 三星   準 星級  勉強 !    市區 裡面 (  涵江區 車   塊錢 然     話 )  條 前   村 店  公路 旁 交通 極 便 ; 次  進入 酒店  股 黴味 毯  處   汙漬   圖   容忍     蟲子 處 亂 爬   正  颱風 沒 辦法    住    敢 保證 會 住 裡 
0,兩 星級  設施 (   沒 )  四星  收費 標準  真知道 四星級   評     攜程 宣傳    區  說  酒  原  房間 食品 
0, 覺  酒店 應   住    評 四星級 酒店 爛 爛 爛  間     房間  沒 進門  道 裡 毯 發黴  味道  絕   發暈 （  住   層  層 居然  理室 類   鼻子 壞    ） 次  進門    天花板 發黴 掉落  牆皮 灰 震驚       酒店  應   招  差   衛生間  錯   先進  獨立 玻璃 淋浴房     睡  淋浴房 裡  次  超級 超級 差  隔音  隔壁   普通  講 電話 聲音    感覺  沒 牆  存  天 早晨 面  理室  值班室  服務生  會    力氣 關門   熱烈  交談   種 天  早晨  點半  震響  歷  實   頭痛 … …   結賬     東西   袋子 裝  禮貌  問 前臺 mm      手提袋   mm 剛   結完 帳  說    結賬    … … 暈 … …  忍住  問    辦   東西       機場 … … mm     房間     厄 … …  剛  房卡     … …   便    樓層  找  樓層 服務員    手提袋 … …  話說   酒店 … …  明天    濱    死  會 選擇 波斯特  賓館 反饋    年  月  日         入住 酒店 期間 發生  意   深表歉意  酒店 會 加強 雨季 時 樓層  通風  保持 清爽 乾燥  時  禮賓 部 預留 足夠  備 手袋  外 酒店  會 加強 巡視   限度  保證 樓層  安靜 環境    真誠 歡迎 次 入住  感受   改進 
0,破  賓館  招 差  服務   問題  找錢   聲 謝謝   說 氣死 拉  早飯    吃   房間 送餐 送 完   沒  餐具  暈倒  點   紅燒 牛肉 牛肉    淋  敢 吃    元 份   網速 快  M   建議  入住 太差 拉 
0,面 髒 非常  舒服 熱水 忽冷忽熱 浴室 太暗  兩年 前 入住 時 差異 非常  原 預定 住 兩晚  住   晚 前臺 服務 佳 刷卡 刷  半天  沒 成功  說 機器 壞  真 差勁 
0,濫  酒店 什  行  種 酒店 千萬    年代   星
0,設施  陳舊  衛生間 真 夠 髒   沒 電梯
0,房間  算 乾淨   房間 空氣   股 空調 裡 散發出  黴味  設施 極 般  淋浴 龍頭 擰  半天   知道 倒底   冷水    熱水    差點  關掉   估計 冷熱水 龍頭 概  裝 反掉    餐廳 服務  般  早餐 質量 極 般  餐廳   單位 裡  食堂 
0,  優點   價錢  實惠  外  免費 停車場 （ 果 住  古鎮 裡面  白天   允許  車開進   ）   賓館  服務員  說   餐廳 做   吃 吃  實 敢苟  份量 少  味道   道  價格   低  建議 重視  美食  朋友   賓館  餐廳 餐  會  山西  吃 產生 錯誤 印象  
0,設施  陳舊  衛生間 真 夠 髒   沒 電梯
0,  優點   價錢  實惠  外  免費 停車場 （ 果 住  古鎮 裡面  白天   允許  車開進   ）   賓館  服務員  說   餐廳 做   吃 吃  實 敢苟  份量 少  味道   道  價格   低  建議 重視  美食  朋友   賓館  餐廳 餐  會  山西  吃 產生 錯誤 印象  
0,  酒店 門口  服務生  客 拎   行李 動衷       前臺 說明 通 攜程 預定 時  兩 女 服務生 均面 表情  說  聲 傳真   班    知道      電話  攜程   攜程  前臺 協調 期間   肯   先 登記 入住    二天 早   早餐   點  差 兩分鐘 進入 時   收拾  滴 湯   剩   詢問 服務 員   抬頭   眼  點 迴應  沒    達  兩天 雪  酒店 堂 寫   軍衣 出租   想租 衣服  詢問 前臺    副 欠   兩 銀子  表情  說  押金    客氣  問   衣服   扔  句  沒 鑰匙  鎖    真 奇怪    交 押金 幹什     點 客觀 說    考 酒店  錯   理 真   差   兩間 房間 半夜  凌晨  莫名妙  敲  三四次 門    點 高原 反應   更 受罪   休息     房間  熱水 時冷時熱  洗澡 洗   凍 感   總言  時  預定  建塘 賓館    時 停電  換  飯店  兩 賓館  服務 簡直  天壤  二天 早   走    賓館    印象 太差    會   補充 點評    年  月  日      補充     車子   積雪  問 賓館  拖 掃   態度 非常 傲慢  肯  
0,早餐 差  check - in 服務  差   預定  煙 床   進 房間 發現   張床  房間    換  發現  床 沒錯    吸菸 房間         發現 床墊 放 屁股 處   凹陷  絕  劣質 貨 
0, 酒店 實際  蘭州鐵路局  部 招  位 火車站 出站口 處  果 怕 火車 吵   晚  睡   價格 算 便宜    般  房間  舊  房  裝置 般  衛生 排氣扇 壞   抽水馬桶  壞   維修 員 脾氣 暴     禮貌    前臺 服務 員素質  差  早 退房 時 前臺 竟然 找  服務員    近 半 時  耽誤 寶貴  時間  入住 酒店 停車 竟然  收費  建議    酒店 做  入住 選擇  非   火車  特殊  感情 
0,房間 毯 太髒  近 火車站 十分 吵鬧    雙層 玻璃  服務 般  酒店 門口  TAXI 講  酒店  長期 合作 關係  月  交費  酒店   酒店  機場 講  表  元     非  元    宰  -  元 
0,環境  設施   提前 預訂   鐵軌  房間 沒  保留 整晚  火車 汽笛聲 影響  睡眠
0,交通 方便 門口   黃河       路 公交車    市中心   路車  酒店 房間 設施 陳舊  進門 插 鑰匙 牌取 電  竟然 發現 開水壺  空燒   知道 水壺  障  會 動 斷電   送 早餐  服務員 說  事  未見 反應  床頭 背 軟墊  破     水質 關係  洗臉盆  浴缸    馬桶 痕跡     顯 髒  毯   乾淨  早餐  客 求  時間 （      -      ） 送 房間  數量  根 吃完    質量  般般   象  火車站 旁 市場 攤子  賣   東西  房間 押金  天 天 交    注意      結帳 時 服務員 會 問    發票     發票 會 動  原 價格 加      元 錢 天  事先   加  說明 
0, 酒店 實際  蘭州鐵路局  部 招  位 火車站 出站口 處  果 怕 火車 吵   晚  睡   價格 算 便宜    般  房間  舊  房  裝置 般  衛生 排氣扇 壞   抽水馬桶  壞   維修 員 脾氣 暴     禮貌    前臺 服務 員素質  差  早 退房 時 前臺 竟然 找  服務員    近 半 時  耽誤 寶貴  時間  入住 酒店 停車 竟然  收費  建議    酒店 做  入住 選擇  非   火車  特殊  感情 
0,真  家   適合 入住  酒店  先 服務態度  惡劣 程度   適宜 入住  舉 前臺  事 例    海    觀潮 節 期間  客戶   訂  二間 房  先 刷卡 預 授權  結帳 時說 刷     換  機子 重新 直接 扣款  刷   七八次 卡 算 成功  （  概  二十分鐘   點 歉意  沒  反  象   做 錯  什     出難題  ）    定 記   預 授權 取消   說   天后 會 動 取消  天 收 銀行  帳單  扣  二次 款       交涉  真真 煩 ~ ~  沒 次   海 賓館 
0,房間 毯 太髒  近 火車站 十分 吵鬧    雙層 玻璃  服務 般  酒店 門口  TAXI 講  酒店  長期 合作 關係  月  交費  酒店   酒店  機場 講  表  元     非  元    宰  -  元 
0,環境  設施   提前 預訂   鐵軌  房間 沒  保留 整晚  火車 汽笛聲 影響  睡眠
0,交通 方便 門口   黃河       路 公交車    市中心   路車  酒店 房間 設施 陳舊  進門 插 鑰匙 牌取 電  竟然 發現 開水壺  空燒   知道 水壺  障  會 動 斷電   送 早餐  服務員 說  事  未見 反應  床頭 背 軟墊  破     水質 關係  洗臉盆  浴缸    馬桶 痕跡     顯 髒  毯   乾淨  早餐  客 求  時間 （      -      ） 送 房間  數量  根 吃完    質量  般般   象  火車站 旁 市場 攤子  賣   東西  房間 押金  天 天 交    注意      結帳 時 服務員 會 問    發票     發票 會 動  原 價格 加      元 錢 天  事先   加  說明 
0,   酒店 尚遣 畈 歡 啵  知道  星  焐 先 サ 模房 g  艄 夂 馨 擔壁 非常 v    B 水  痕  浴室 非常 非常     竟然  浴 隔  ]  浴盆   毛巾 非常 破 f    ]  X  太 v     房 gZ 光樂夭 蛔 悖服 B 度   直 f  房 g  M    ]  C 登   oQ 房 推三阻四  @  三星  省 
0,   酒店 尚遣 畈 歡 啵  知道  星  焐 先 サ 模房 g  艄 夂 馨 擔壁 非常 v    B 水  痕  浴室 非常 非常     竟然  浴 隔  ]  浴盆   毛巾 非常 破 f    ]  X  太 v     房 gZ 光樂夭 蛔 悖服 B 度   直 f  房 g  M    ]  C 登   oQ 房 推三阻四  @  三星  省 
0,   住  香港 爛  酒店  房間  超出   想象 電視機   寸  床  電視機     釐米  整 客房 包括 衛生間  超  平方  暈死 !
0,房間 巨  電視 成  擺設  開   服務員 態度 冷漠   會 進 家 酒店
0, 趣  酒店設施 什      早    睡覺 居然   鑰匙 開門  進      跳 減分 少 
